label,kind,axis,gamma,group,V_annual,V_decadal,V_total,mean,annual_ratio,decadal_ratio,total_ratio,injected
baseline,baseline,0,,,0.00048550596514120915,1.3693872705534626e-05,0.0021343971882782594,0.03585857525467876,1.0,1.0,1.0,0.0
annualredist_matched_2.0x,annual_redist,1,5.778567420459419,a1_2.0,0.0009619464758631903,1.0255348582016385e-05,0.0021331216930122352,0.03585857525467875,1.981327820726999,0.7489005340228919,0.9994024096016294,0.00047644051072198116
decadal_matched_2.0x,decadal,1,57.76127941130239,a1_2.0,0.00043704052403768757,0.0005089579678537963,0.0021315320078076905,0.03585857525467873,0.9001753951891704,37.166839417755924,0.9986576160771276,0.0004952640951482617
annualredist_matched_3.0x,annual_redist,1,20.063985465485345,a1_3.0,0.0014616225609769317,7.780404957189059e-06,0.002131549852221222,0.03585857525467874,3.0105141150054036,0.5681668819693693,0.9986659764767896,0.0009761165958357225
decadal_matched_3.0x,decadal,1,195.7564121393389,a1_3.0,0.0003876008713706441,0.0009966676262659737,0.002128223540970376,0.03585857525467875,0.7983442000715905,72.78201336449932,0.9971075452395702,0.0009829737535604391
annualredist_suppressed_0.5x,annual_redist,1,0.4,,0.00039260514206431975,1.4500287417265806e-05,0.002135174018671858,0.035858575254678754,0.808651531089079,1.0588887255688635,1.0003639577478198,-9.29008230768894e-05
annualseasonal_2.0x,annual_seasonal,2,2.0466778487394364,a2_2.0,0.0009550901254969826,1.2566679796169315e-05,0.002536186015813798,0.035858575254678775,1.9672057483767376,0.9176863306966674,1.1882446386933478,0.00046958416035577347
annualseasonal_5.0x,annual_seasonal,2,5.562029291781089,a2_5.0,0.0023890515182909086,1.0348845692808678e-05,0.0038865230587606455,0.03585857525467879,4.920745963638272,0.7557281943059106,1.8208996339129186,0.0019035455531496994
annualseasonal_10.0x,annual_seasonal,2,12.134369371364595,a2_10.0,0.004786860323048392,8.607872054479949e-06,0.006411117340321353,0.03585857525467882,9.85952937088247,0.6285929655970091,3.0037133554757762,0.004301354357907183
decadal_max,decadal,1,320.0,,0.00036849884965940103,0.0011817327296993656,0.002126594775448661,0.035858575254678754,0.7589996336136124,86.29645938082562,0.9963444419471464,0.001168038856993831
white_control_2.0x,white,2,,a2_2.0,0.0005244971983343814,1.8820024698274146e-05,0.0025423177984349333,0.035858575254678754,1.0803105131403106,1.374339100630583,1.1911174791631582,0.0
white_control_5.0x,white,2,,a2_5.0,0.000657487781692429,3.733867252478402e-05,0.0038891092513103293,0.03585857525467874,1.3542321390452927,2.726670046355325,1.822111307430803,0.0
white_control_10.0x,white,2,,a2_10.0,0.0008959349265257402,6.976672508414971e-05,0.006403773995187894,0.035858575254678754,1.8453633752268275,5.094740296216733,3.0002728781486003,0.0
