name,subregion,region,n_obs,mean,std,resid_var,ar1_phi,efold_months,decadal_pct,decadal_p_white,decadal_p_ar1,annual_pct,annual_p_white,annual_p_ar1,parseval60_pct,verdict
PineIsland,Ipp-J,West_Antarctica,540,0.03543859280469877,0.02223600267060405,0.00032963422402394624,0.12272830058149384,0.4766938864369356,1.3980404346504138,73.0,55.60000000000001,12.706136977206082,90.4,57.4,99.15288230203089,white
Crosson,Ipp-G,West_Antarctica,540,0.09324562517566072,0.0602972389295957,0.002965236794005711,0.06597686965997106,0.36785653985871164,0.5116824112309771,12.0,10.6,9.671595595968903,46.6,26.400000000000002,99.91387384898765,white
Dotson,Ipp-G,West_Antarctica,540,0.07420791179594946,0.044009755138974496,0.001478157600713129,0.05541168850900419,0.34566615757672026,0.6094240381983431,18.4,16.6,9.630272675276762,45.800000000000004,28.999999999999996,99.65391172279443,white
Getz,Ipp-F,West_Antarctica,540,0.06683181463894369,0.0414436302378793,0.0012860125544191905,0.16249444170157504,0.5503239671944729,1.1568121087187646,60.8,38.4,13.364030271640793,94.0,54.2,97.01585622063351,white
Kohler,Ipp-G,West_Antarctica,540,0.06798739325722973,0.044205289469757096,0.0016622996381807343,0.08737727258430801,0.4102530324277057,0.6214349046972409,19.6,14.399999999999999,10.385842768861604,59.8,32.2,99.56585335889967,white
Larsen C,Ipp-K,West_Antarctica,540,0.055372836268334474,0.02138949464458716,0.00036192761454413455,0.0476409188538179,0.32850828605731425,2.870252491026379,98.8,97.39999999999999,9.622977189209806,45.6,31.6,94.93886086177322,band-structured
Ronne,Ipp-L,West_Antarctica,540,0.017036967917401516,0.009278862215695413,7.877304508599581e-05,0.03195398991937588,0.29040573005737924,0.9640240011704807,46.0,44.2,12.231506031118307,85.2,78.0,96.64777589787543,white
Ross East,Ipp-M,West_Antarctica,540,0.005446396019424019,0.0028201431375600265,5.1747913279342074e-06,0.16264142351143626,0.5505979237733375,2.2021337134167305,94.6,81.2,11.189788117809146,74.8,25.0,92.64298272559091,white
Thwaites,Ipp-H,West_Antarctica,540,0.034953277773806975,0.020048908125688984,0.00029793266560515405,0.10928533238250063,0.45171339863646764,0.8039526700008549,33.800000000000004,23.400000000000002,12.12389762963117,85.0,51.6,98.15187306179709,white
